Order_Id,Delay_Status
77202,1
75939,1
75938,0
75937,1
75936,0
75935,1
75934,1
75933,0
75932,0
75931,0
75930,0
75929,1
75928,1
75927,0
75926,1
75925,1
75924,1
75923,1
75922,0
75921,1
75920,0
75919,1
75918,1
75917,1
75916,0
75915,1
75914,1
75913,1
75912,1
75911,0
75910,1
75909,1
75908,1
75907,1
75906,1
75905,1
75904,0
75903,1
75902,1
75901,0
75900,1
75899,0
75898,0
75897,0
75896,1
75895,1
75894,0
75893,0
28744,0
45461,1
31115,1
45766,1
47752,0
50054,1
20365,1
36146,1
41234,1
32090,1
34773,0
44046,0
46414,1
46599,1
48434,0
12827,1
63936,1
65030,1
18108,0
62571,0
17162,1
65922,1
63936,0
64813,1
67892,1
12525,0
5895,0
56359,0
58613,1
7824,0
7814,0
7814,1
60807,0
53413,1
7888,0
6783,1
56973,1
7824,1
55155,1
5991,0
2263,1
2263,1
53403,1
51298,0
4919,1
52640,0
6358,0
57106,1
6245,1
52166,1
56172,0
55829,0
52478,1
57242,1
3137,0
60127,1
3828,1
60386,0
973,0
57999,1
54585,1
57598,0
54274,1
60673,1
59387,1
52640,1
10007,0
55984,1
52478,0
58375,0
56448,1
8221,0
58034,1
2203,0
53069,0
60146,1
55409,0
8678,0
7980,0
57185,1
8636,1
61192,0
55876,1
53331,0
51725,1
52562,0
59754,0
53574,0
399,1
51050,1
45680,0
42992,0
41304,0
45680,1
44253,0
46098,1
41304,1
71077,0
69703,0
71112,1
69810,1
71092,0
69610,0
71000,0
70734,0
69626,0
69482,1
70769,1
69643,0
71051,1
69408,0
71123,1
70534,1
69641,1
70960,0
69908,0
70957,0
69637,0
70955,0
70919,1
71009,0
69653,1
69527,1
71080,1
70544,0
69471,0
68879,1
67214,1
17810,1
18793,0
65109,0
15673,1
18183,1
20234,0
13139,1
33824,1
31364,0
40495,0
31364,1
34506,0
33607,1
32617,0
37496,1
32617,1
49075,1
33824,0
49075,1
41623,1
39271,1
38598,1
37845,0
42331,1
41345,1
51168,1
51168,0
43599,1
41901,0
42751,1
45088,0
50489,1
44409,1
42101,1
50424,1
49825,1
41294,1
42023,0
47774,1
41827,1
47193,1
42626,1
46199,1
48468,0
51009,0
46229,1
42882,1
46827,1
48684,1
48684,1
46416,0
47343,1
41686,1
41896,0
28168,1
24992,0
30851,1
25074,0
76870,1
25163,1
28036,1
22679,1
23610,1
42828,0
41896,1
48713,1
45668,0
74796,1
27918,0
30097,0
30966,1
30063,0
22019,0
24230,1
48713,0
42353,0
45668,0
42134,1
21522,0
23767,0
25433,0
73893,0
30085,1
30172,0
27478,0
76976,1
24063,1
51209,1
73839,1
74723,1
26821,0
77102,0
41608,0
47009,1
49916,1
29746,0
72533,1
48608,1
45506,1
45027,1
46308,1
43685,1
41893,1
46339,1
46667,0
47647,0
48565,1
43889,0
45138,0
44160,1
49214,0
41825,0
44504,1
44496,0
45559,1
44074,1
49857,0
41786,1
48042,1
44301,0
41591,1
44981,0
41545,0
49910,1
19590,1
43650,1
15202,0
15462,0
15155,1
64451,0
67028,1
62336,1
11334,0
62885,1
66998,0
47002,1
63445,0
67566,1
18884,1
18845,1
66854,1
46955,1
55002,1
60445,0
53586,0
56618,1
51865,1
2937,1
54446,1
58623,1
7411,0
5348,1
59742,0
59498,1
3459,0
8470,0
53455,0
2014,1
55899,1
52582,0
56222,0
57829,1
56217,0
5893,1
5528,1
367,0
52353,1
1784,1
60317,0
6776,1
4487,1
9681,1
60868,0
53231,0
52601,0
4660,1
3539,1
53231,1
54488,1
6776,1
52549,1
60361,1
8470,1
5712,1
9309,0
8095,0
75892,0
75891,1
75890,0
75889,0
75888,0
75887,0
75886,0
75885,1
75884,1
75883,1
75882,0
75881,1
75880,1
75879,0
75878,1
75877,0
75876,1
75875,1
75874,1
75873,1
75872,0
75871,0
75870,0
75869,1
75868,0
75867,1
75866,0
75865,0
75864,1
75863,1
75862,0
75861,1
75860,0
75859,0
75858,0
75857,1
75856,1
75855,0
75854,1
75853,1
75852,0
75851,1
75850,0
75849,1
75848,1
75847,0
75846,1
75845,1
75844,1
75843,1
75842,1
75841,0
75840,1
75839,1
75838,0
75837,0
75836,1
75835,0
75834,1
75833,0
75832,1
75831,1
75830,1
75829,0
75828,1
75827,1
75826,0
75825,0
75824,0
75823,0
75822,1
75821,0
75820,1
75819,0
75818,1
75817,0
75816,1
75815,0
75814,0
75813,1
75812,0
75811,0
75810,0
75809,1
75808,1
75807,0
75806,0
75805,0
75804,1
75803,1
75802,0
75801,1
75800,0
75799,0
75798,1
75797,1
5895,1
3130,1
49521,1
30305,0
50054,1
27772,0
47752,1
31296,1
22076,0
25665,0
31296,0
22819,1
27099,1
28292,1
39159,1
32090,0
34631,1
37669,1
37669,1
34773,1
40085,0
47262,0
44771,1
13890,0
17071,1
11321,1
64813,1
17162,0
12827,0
11936,1
68337,1
45746,1
64813,1
13736,0
49622,1
19444,0
63936,0
49622,0
51911,0
58239,1
56678,0
53202,0
58738,1
56260,0
5042,1
53202,1
55511,1
54128,0
21244,1
47752,0
31239,1
45772,0
24661,1
50054,1
22924,0
21902,0
21534,1
45461,0
24160,1
39159,0
32102,0
37763,1
37867,1
31905,1
36269,0
37867,0
40085,0
40085,0
48374,0
48434,1
17719,1
15766,1
12179,0
66275,1
13140,0
16444,0
15766,0
65030,0
14454,1
13736,0
67979,1
65030,1
66275,1
65264,0
11936,1
13890,1
51226,1
52576,0
53202,0
67753,1
15421,0
13225,0
71362,1
13232,1
67753,0
68879,1
65487,1
65105,1
14837,1
46224,0
71217,1
63972,0
19200,1
18009,1
10831,0
68107,1
15421,1
71271,1
68879,1
65487,1
16953,1
49664,1
16446,1
10831,1
14960,1
18005,1
10831,1
12804,1
14651,0
10990,1
65609,1
17878,0
16998,1
13970,1
10990,1
13614,1
44388,1
13050,1
12613,0
66587,0
62795,1
18950,1
19610,1
65011,1
19380,1
65005,1
20085,1
18245,0
17810,1
19817,0
10444,1
64637,0
15269,0
14064,1
14551,0
12698,1
47758,1
68220,0
14730,1
66411,0
12535,1
67712,1
18593,0
17909,1
16302,0
14730,1
13343,1
62117,1
62637,1
67845,0
67712,0
11209,1
41494,0
18593,1
13343,1
62637,1
70044,1
67753,0
16617,0
14574,1
12698,0
15599,0
13343,0
20072,1
12323,0
71295,0
66351,1
12698,1
44148,1
53540,1
53069,1
57570,0
5154,0
9122,0
4427,0
9340,0
9331,1
58315,0
54572,1
51746,0
4269,1
61346,0
1999,1
53576,1
57152,0
51674,1
55336,1
53810,0
59301,1
8410,1
8123,1
60567,1
2203,0
3527,0
2428,1
55174,0
57032,0
10113,0
52250,1
8906,1
1386,0
59226,1
8847,0
57929,1
53505,1
55636,0
57128,1
8728,0
1105,1
1797,0
1634,0
53576,1
10113,1
6176,1
60460,1
580,0
56244,1
6522,1
58298,0
3625,1
52321,0
58896,0
5919,0
52772,0
9063,1
61419,1
5919,0
27742,0
24453,0
31145,0
30802,0
25875,1
30589,0
20931,1
45646,1
29731,1
42777,1
23886,1
43561,1
47846,1
21192,1
23156,1
22811,0
25418,0
47092,0
42658,1
23494,0
27316,1
20931,0
27555,1
28657,1
47011,1
47846,1
21973,0
50226,0
44617,1
21196,1
21193,0
26073,1
44425,0
49570,1
42099,1
47731,1
46062,0
44938,1
50688,1
49445,0
47938,1
45249,1
41874,1
41572,1
46062,0
41785,0
42971,1
44677,0
43266,1
50688,1
47917,1
48901,1
44265,1
41590,1
45987,1
44452,0
49218,1
47840,1
47493,0
45987,0
41590,0
64274,1
13298,1
62786,1
13939,0
46864,1
16590,1
62840,1
66959,0
63220,0
19642,0
65439,1
62840,1
17363,1
13298,0
18237,1
66958,0
66764,0
66764,0
48193,0
15231,1
10451,0
10459,1
64222,1
63907,1
19178,0
67046,1
65312,1
16436,0
11822,0
19528,0
49763,1
16013,1
17347,1
19496,1
62789,1
11674,0
67866,1
13599,1
10384,1
63115,1
63516,1
62086,1
62817,1
10856,1
14685,0
66229,1
14924,0
49839,1
12393,1
65898,0
64599,1
65370,0
19732,1
67549,1
67549,0
67866,0
67275,0
46863,0
62306,1
10451,1
18213,0
16863,0
24764,1
21522,0
26670,1
21971,0
76849,1
27357,1
29283,0
30724,1
74454,0
24558,1
24230,1
26821,0
23211,1
21868,0
47009,1
42271,0
50628,1
24764,1
21907,0
72442,1
27357,1
21966,1
31169,1
21906,1
72460,1
26861,0
76992,0
22792,1
24438,0
27957,1
